,WB6A,WB16,MT9,MT11,CM3,CM8,CP2,UN7,UN14N,VT9,MA1,AF10,AF11,SB2U,TA16,LS2
6_Congo_MICS6_1_1_2,20.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,,8.0
6_Congo_MICS6_1_2_2,40.0,,1.0,1.0,,2.0,1.0,1.0,16.0,2.0,3.0,1.0,1.0,2.0,,9.0
6_Congo_MICS6_1_3_1,31.0,,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,10.0,5.0
6_Congo_MICS6_1_3_2,31.0,,2.0,2.0,,2.0,2.0,1.0,26.0,2.0,3.0,,,,,9.0
6_Congo_MICS6_1_4_3,32.0,,2.0,1.0,1.0,2.0,2.0,1.0,9.0,2.0,3.0,1.0,1.0,3.0,,5.0
6_Congo_MICS6_1_5_2,32.0,,1.0,1.0,0.0,2.0,2.0,1.0,7.0,2.0,2.0,1.0,1.0,1.0,,7.0
6_Congo_MICS6_1_7_7,40.0,,1.0,1.0,,2.0,2.0,1.0,4.0,2.0,3.0,1.0,1.0,,,7.0
6_Congo_MICS6_1_7_13,31.0,,1.0,1.0,,2.0,2.0,1.0,28.0,2.0,3.0,1.0,1.0,3.0,,5.0
6_Congo_MICS6_1_7_14,31.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,24.0,2.0,3.0,1.0,1.0,4.0,10.0,6.0
6_Congo_MICS6_1_8_2,40.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,25.0,2.0,3.0,1.0,1.0,1.0,10.0,8.0
6_Congo_MICS6_1_8_4,31.0,1.0,1.0,1.0,,2.0,2.0,2.0,8.0,2.0,3.0,1.0,1.0,4.0,,5.0
6_Congo_MICS6_1_9_2,31.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,25.0,2.0,1.0,1.0,1.0,1.0,,6.0
6_Congo_MICS6_1_10_2,,,,,,,,,,,,,,,,
6_Congo_MICS6_1_10_3,40.0,,,1.0,,2.0,1.0,1.0,11.0,2.0,3.0,1.0,1.0,1.0,,7.0
6_Congo_MICS6_1_10_4,40.0,,,1.0,,2.0,2.0,1.0,23.0,2.0,3.0,1.0,1.0,2.0,,5.0
6_Congo_MICS6_1_11_2,40.0,1.0,1.0,1.0,1.0,2.0,,,24.0,2.0,1.0,1.0,1.0,3.0,,10.0
6_Congo_MICS6_1_12_2,34.0,1.0,2.0,1.0,,2.0,2.0,1.0,7.0,2.0,2.0,1.0,1.0,1.0,10.0,7.0
6_Congo_MICS6_1_12_5,32.0,,1.0,1.0,,2.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,10.0,6.0
6_Congo_MICS6_1_13_1,32.0,,,1.0,1.0,2.0,1.0,1.0,25.0,2.0,3.0,1.0,1.0,1.0,10.0,9.0
6_Congo_MICS6_1_13_2,33.0,,1.0,2.0,,2.0,2.0,1.0,27.0,2.0,3.0,,,,,7.0
6_Congo_MICS6_1_14_2,31.0,,2.0,1.0,,2.0,2.0,1.0,11.0,2.0,3.0,1.0,1.0,2.0,,5.0
6_Congo_MICS6_1_15_1,31.0,,1.0,2.0,,2.0,2.0,1.0,28.0,2.0,3.0,1.0,2.0,1.0,10.0,8.0
6_Congo_MICS6_1_16_2,40.0,,1.0,1.0,,2.0,2.0,1.0,15.0,2.0,3.0,1.0,1.0,,,7.0
6_Congo_MICS6_1_16_3,40.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,3.0,1.0,1.0,4.0,,10.0
6_Congo_MICS6_1_17_2,40.0,,,1.0,1.0,2.0,2.0,1.0,20.0,2.0,1.0,1.0,1.0,1.0,10.0,6.0
6_Congo_MICS6_1_18_1,40.0,,,1.0,0.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,,9.0
6_Congo_MICS6_1_18_2,40.0,,1.0,1.0,,2.0,2.0,1.0,16.0,2.0,3.0,2.0,1.0,3.0,,7.0
6_Congo_MICS6_1_19_2,40.0,,1.0,1.0,,2.0,2.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_1_20_2,32.0,,1.0,1.0,,2.0,2.0,1.0,15.0,2.0,3.0,1.0,1.0,3.0,,10.0
6_Congo_MICS6_1_21_2,32.0,,2.0,1.0,1.0,2.0,2.0,1.0,30.0,2.0,2.0,1.0,1.0,3.0,,5.0
6_Congo_MICS6_1_22_2,40.0,1.0,1.0,1.0,,2.0,2.0,1.0,9.0,2.0,1.0,1.0,1.0,1.0,,9.0
6_Congo_MICS6_1_22_3,31.0,3.0,2.0,2.0,,2.0,2.0,1.0,25.0,2.0,3.0,,,,,7.0
6_Congo_MICS6_1_22_4,32.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,2.0,,7.0
6_Congo_MICS6_1_23_2,40.0,,2.0,1.0,0.0,2.0,1.0,2.0,94.0,2.0,1.0,1.0,1.0,3.0,,4.0
6_Congo_MICS6_1_24_3,32.0,,1.0,1.0,1.0,2.0,1.0,1.0,20.0,2.0,3.0,1.0,1.0,1.0,10.0,7.0
6_Congo_MICS6_1_24_5,32.0,,1.0,1.0,,2.0,2.0,1.0,11.0,2.0,3.0,,,2.0,,8.0
6_Congo_MICS6_1_25_5,20.0,,2.0,2.0,,2.0,2.0,1.0,26.0,2.0,3.0,,,,,8.0
6_Congo_MICS6_1_26_1,32.0,,2.0,1.0,3.0,2.0,1.0,2.0,28.0,2.0,3.0,1.0,1.0,1.0,,8.0
6_Congo_MICS6_1_27_2,20.0,1.0,2.0,1.0,,2.0,2.0,1.0,27.0,2.0,1.0,1.0,1.0,1.0,10.0,9.0
6_Congo_MICS6_1_27_4,20.0,1.0,2.0,2.0,,2.0,2.0,1.0,7.0,2.0,3.0,,,4.0,,7.0
6_Congo_MICS6_1_28_3,40.0,,1.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,,5.0
6_Congo_MICS6_1_28_5,40.0,1.0,1.0,1.0,,2.0,2.0,1.0,16.0,2.0,3.0,1.0,1.0,,,6.0
6_Congo_MICS6_1_29_2,32.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,94.0,2.0,1.0,1.0,1.0,3.0,,7.0
6_Congo_MICS6_1_29_3,10.0,1.0,2.0,2.0,,2.0,2.0,1.0,13.0,2.0,3.0,,,,,10.0
6_Congo_MICS6_1_30_3,31.0,,1.0,1.0,1.0,2.0,2.0,1.0,16.0,2.0,3.0,2.0,1.0,4.0,,5.0
6_Congo_MICS6_1_30_4,32.0,,2.0,2.0,,2.0,2.0,1.0,5.0,2.0,3.0,2.0,1.0,2.0,,8.0
6_Congo_MICS6_2_1_2,31.0,1.0,2.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,1.0,1.0,1.0,1.0,,6.0
6_Congo_MICS6_2_2_2,31.0,,2.0,1.0,3.0,2.0,,,4.0,2.0,1.0,1.0,1.0,2.0,,5.0
6_Congo_MICS6_2_5_1,34.0,,2.0,1.0,2.0,2.0,1.0,2.0,7.0,2.0,3.0,1.0,1.0,1.0,,3.0
6_Congo_MICS6_2_6_2,32.0,,2.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,7.0
6_Congo_MICS6_2_7_2,31.0,,2.0,1.0,1.0,2.0,1.0,1.0,94.0,2.0,1.0,1.0,1.0,1.0,,6.0
6_Congo_MICS6_2_8_3,40.0,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,10.0,8.0
6_Congo_MICS6_2_9_2,32.0,,2.0,2.0,1.0,2.0,1.0,8.0,2.0,2.0,1.0,1.0,1.0,1.0,,7.0
6_Congo_MICS6_2_10_2,31.0,,2.0,2.0,1.0,2.0,,,4.0,2.0,1.0,1.0,1.0,2.0,,6.0
