index,HHID,HLID,country
6_Congo_MICS6_1_1_2,6_Congo_MICS6_1_1,6_Congo_MICS6_1_1_2,Congo_MICS6
6_Congo_MICS6_1_2_2,6_Congo_MICS6_1_2,6_Congo_MICS6_1_2_2,Congo_MICS6
6_Congo_MICS6_1_3_1,6_Congo_MICS6_1_3,6_Congo_MICS6_1_3_1,Congo_MICS6
6_Congo_MICS6_1_3_2,6_Congo_MICS6_1_3,6_Congo_MICS6_1_3_2,Congo_MICS6
6_Congo_MICS6_1_4_3,6_Congo_MICS6_1_4,6_Congo_MICS6_1_4_3,Congo_MICS6
6_Congo_MICS6_1_5_2,6_Congo_MICS6_1_5,6_Congo_MICS6_1_5_2,Congo_MICS6
6_Congo_MICS6_1_7_7,6_Congo_MICS6_1_7,6_Congo_MICS6_1_7_7,Congo_MICS6
6_Congo_MICS6_1_7_13,6_Congo_MICS6_1_7,6_Congo_MICS6_1_7_13,Congo_MICS6
6_Congo_MICS6_1_7_14,6_Congo_MICS6_1_7,6_Congo_MICS6_1_7_14,Congo_MICS6
6_Congo_MICS6_1_8_2,6_Congo_MICS6_1_8,6_Congo_MICS6_1_8_2,Congo_MICS6
6_Congo_MICS6_1_8_4,6_Congo_MICS6_1_8,6_Congo_MICS6_1_8_4,Congo_MICS6
6_Congo_MICS6_1_9_2,6_Congo_MICS6_1_9,6_Congo_MICS6_1_9_2,Congo_MICS6
6_Congo_MICS6_1_10_2,6_Congo_MICS6_1_10,6_Congo_MICS6_1_10_2,Congo_MICS6
6_Congo_MICS6_1_10_3,6_Congo_MICS6_1_10,6_Congo_MICS6_1_10_3,Congo_MICS6
6_Congo_MICS6_1_10_4,6_Congo_MICS6_1_10,6_Congo_MICS6_1_10_4,Congo_MICS6
6_Congo_MICS6_1_11_2,6_Congo_MICS6_1_11,6_Congo_MICS6_1_11_2,Congo_MICS6
6_Congo_MICS6_1_12_2,6_Congo_MICS6_1_12,6_Congo_MICS6_1_12_2,Congo_MICS6
6_Congo_MICS6_1_12_5,6_Congo_MICS6_1_12,6_Congo_MICS6_1_12_5,Congo_MICS6
6_Congo_MICS6_1_13_1,6_Congo_MICS6_1_13,6_Congo_MICS6_1_13_1,Congo_MICS6
6_Congo_MICS6_1_13_2,6_Congo_MICS6_1_13,6_Congo_MICS6_1_13_2,Congo_MICS6
6_Congo_MICS6_1_14_2,6_Congo_MICS6_1_14,6_Congo_MICS6_1_14_2,Congo_MICS6
6_Congo_MICS6_1_15_1,6_Congo_MICS6_1_15,6_Congo_MICS6_1_15_1,Congo_MICS6
6_Congo_MICS6_1_16_2,6_Congo_MICS6_1_16,6_Congo_MICS6_1_16_2,Congo_MICS6
6_Congo_MICS6_1_16_3,6_Congo_MICS6_1_16,6_Congo_MICS6_1_16_3,Congo_MICS6
6_Congo_MICS6_1_17_2,6_Congo_MICS6_1_17,6_Congo_MICS6_1_17_2,Congo_MICS6
6_Congo_MICS6_1_18_1,6_Congo_MICS6_1_18,6_Congo_MICS6_1_18_1,Congo_MICS6
6_Congo_MICS6_1_18_2,6_Congo_MICS6_1_18,6_Congo_MICS6_1_18_2,Congo_MICS6
6_Congo_MICS6_1_19_2,6_Congo_MICS6_1_19,6_Congo_MICS6_1_19_2,Congo_MICS6
6_Congo_MICS6_1_20_2,6_Congo_MICS6_1_20,6_Congo_MICS6_1_20_2,Congo_MICS6
6_Congo_MICS6_1_21_2,6_Congo_MICS6_1_21,6_Congo_MICS6_1_21_2,Congo_MICS6
6_Congo_MICS6_1_22_2,6_Congo_MICS6_1_22,6_Congo_MICS6_1_22_2,Congo_MICS6
6_Congo_MICS6_1_22_3,6_Congo_MICS6_1_22,6_Congo_MICS6_1_22_3,Congo_MICS6
6_Congo_MICS6_1_22_4,6_Congo_MICS6_1_22,6_Congo_MICS6_1_22_4,Congo_MICS6
6_Congo_MICS6_1_23_2,6_Congo_MICS6_1_23,6_Congo_MICS6_1_23_2,Congo_MICS6
6_Congo_MICS6_1_24_3,6_Congo_MICS6_1_24,6_Congo_MICS6_1_24_3,Congo_MICS6
6_Congo_MICS6_1_24_5,6_Congo_MICS6_1_24,6_Congo_MICS6_1_24_5,Congo_MICS6
6_Congo_MICS6_1_25_5,6_Congo_MICS6_1_25,6_Congo_MICS6_1_25_5,Congo_MICS6
6_Congo_MICS6_1_26_1,6_Congo_MICS6_1_26,6_Congo_MICS6_1_26_1,Congo_MICS6
6_Congo_MICS6_1_27_2,6_Congo_MICS6_1_27,6_Congo_MICS6_1_27_2,Congo_MICS6
6_Congo_MICS6_1_27_4,6_Congo_MICS6_1_27,6_Congo_MICS6_1_27_4,Congo_MICS6
6_Congo_MICS6_1_28_3,6_Congo_MICS6_1_28,6_Congo_MICS6_1_28_3,Congo_MICS6
6_Congo_MICS6_1_28_5,6_Congo_MICS6_1_28,6_Congo_MICS6_1_28_5,Congo_MICS6
6_Congo_MICS6_1_29_2,6_Congo_MICS6_1_29,6_Congo_MICS6_1_29_2,Congo_MICS6
6_Congo_MICS6_1_29_3,6_Congo_MICS6_1_29,6_Congo_MICS6_1_29_3,Congo_MICS6
6_Congo_MICS6_1_30_3,6_Congo_MICS6_1_30,6_Congo_MICS6_1_30_3,Congo_MICS6
6_Congo_MICS6_1_30_4,6_Congo_MICS6_1_30,6_Congo_MICS6_1_30_4,Congo_MICS6
6_Congo_MICS6_2_1_2,6_Congo_MICS6_2_1,6_Congo_MICS6_2_1_2,Congo_MICS6
6_Congo_MICS6_2_2_2,6_Congo_MICS6_2_2,6_Congo_MICS6_2_2_2,Congo_MICS6
6_Congo_MICS6_2_5_1,6_Congo_MICS6_2_5,6_Congo_MICS6_2_5_1,Congo_MICS6
6_Congo_MICS6_2_6_2,6_Congo_MICS6_2_6,6_Congo_MICS6_2_6_2,Congo_MICS6
6_Congo_MICS6_2_7_2,6_Congo_MICS6_2_7,6_Congo_MICS6_2_7_2,Congo_MICS6
6_Congo_MICS6_2_8_3,6_Congo_MICS6_2_8,6_Congo_MICS6_2_8_3,Congo_MICS6
6_Congo_MICS6_2_9_2,6_Congo_MICS6_2_9,6_Congo_MICS6_2_9_2,Congo_MICS6
6_Congo_MICS6_2_10_2,6_Congo_MICS6_2_10,6_Congo_MICS6_2_10_2,Congo_MICS6
6_Congo_MICS6_2_11_2,6_Congo_MICS6_2_11,6_Congo_MICS6_2_11_2,Congo_MICS6
6_Congo_MICS6_2_12_1,6_Congo_MICS6_2_12,6_Congo_MICS6_2_12_1,Congo_MICS6
6_Congo_MICS6_2_13_2,6_Congo_MICS6_2_13,6_Congo_MICS6_2_13_2,Congo_MICS6
6_Congo_MICS6_2_14_2,6_Congo_MICS6_2_14,6_Congo_MICS6_2_14_2,Congo_MICS6
6_Congo_MICS6_2_15_2,6_Congo_MICS6_2_15,6_Congo_MICS6_2_15_2,Congo_MICS6
6_Congo_MICS6_2_16_2,6_Congo_MICS6_2_16,6_Congo_MICS6_2_16_2,Congo_MICS6
